y_val,y_pred_xgb_wc
14531,12783.335
24310,21961.443
34691,29783.99
42758,42781.156
20732,20653.71
37958,46645.656
16806,17190.557
5909,7493.4463
18118,16499.977
28613,31008.268
49679,39682.184
38246,36485.586
15076,11991.921
12620,11120.645
29922,27417.277
26762,27099.873
15138,14608.545
33213,29910.549
23621,21615.309
16946,15594.201
46575,40754.703
25656,25276.459
50154,47067.51
40958,38256.957
19480,17536.842
24587,21371.914
52555,47125.203
34707,32882.16
25732,25902.713
37878,29689.127
23234,22491.025
17529,17020.06
50193,53022.5
15245,15917.005
14561,14441.719
29324,25889.943
23691,21820.443
28488,30050.645
41048,45575.55
25768,23891.652
18978,16422.885
37750,34649.473
23224,19517.28
28260,27207.81
24033,21225.06
29279,29040.896
31362,30565.865
15423,14767.5205
21588,21941.422
19021,29186.566
34440,27760.344
24088,23745.842
14188,16775.621
31124,28187.914
35482,30634.26
26182,22768.568
15333,16168.127
39192,40972.543
38815,35465.594
27935,25776.176
20273,18596.682
17842,13627.507
27060,27034.096
19634,18890.326
24031,25501.668
25483,21987.299
22981,20858.547
60857,54648.086
38548,33440.645
14068,14231.924
62409,48045.742
22969,20228.66
17898,16131.705
7296,7200.5986
20663,19341.305
32852,30647.139
40327,37277.12
50356,47150.67
36949,37373.48
40375,37880.816
39858,41631.613
30081,26919.5
39370,37010.6
46815,42773.613
49533,41510.016
20592,20842.588
28537,25112.086
22065,21584.826
15210,14157.934
31032,28592.262
16593,19657.738
31513,35357.586
28401,24882.576
33691,29048.596
25809,24696.627
15964,15071.75
23325,28434.205
10557,11001.787
13101,11786.07
48745,38308.016
57191,43697.773
27180,22627.05
14335,14043.397
27339,28821.555
17861,15879.42
47568,43827.477
41320,35488.695
28009,25617.486
37190,31245.02
15022,12855.594
14601,14086.394
40527,37437.918
33281,31623.04
65634,67508.87
34399,33412.348
40998,38031.7
45610,40083.637
51974,44819.29
31037,29286.373
36817,32572.441
25641,24937.088
20044,17843.846
17449,17471.523
59612,53160.047
56586,54009.125
20817,22319.768
8531,8025.664
17287,16831.113
25975,22381.55
18426,16764.217
31444,29409.64
9917,8335.141
23739,21633.732
18063,18128.822
30761,28135.027
34260,31140.91
28263,25161.676
22606,23936.12
27929,23148.633
16777,14901.832
19499,20821.727
9163,9387.217
26742,27128.31
16072,20858.58
31881,35508.113
41662,37614.363
13348,10856.618
28965,29824.068
37217,32127.219
22186,31593.72
26544,29572.639
5760,7305.3887
22503,19159.664
30402,29937.71
32797,26610.678
51370,42683.3
7831,10436.829
26172,29489.943
45459,41440.77
11234,10577.782
37567,36317.758
32401,31102.99
49353,47077.492
20057,16268.281
31767,28099.004
38306,35784.715
29627,26738.85
43147,40655.836
53493,53109.785
59796,47808.363
75959,68895.35
48327,40698.375
27795,26640.152
47656,41838.27
34553,32434.98
25020,22497.713
42032,42092.93
32285,28927.592
21109,20405.492
28044,28764.488
15466,13682.822
20194,19976.207
22869,24870.94
37253,34081.883
26595,25213.32
37266,32428.385
28304,26759.287
14759,15797.838
25557,22723.383
23695,21953.217
41193,38423.73
56289,49276.438
10614,12274.122
20269,19623.057
43491,40469.12
50621,51281.984
34485,29956.541
45439,37069.02
25684,21687.387
25454,22518.42
36575,30410.424
28326,27166.672
35525,34819.168
14368,13998.971
55276,48615.68
74363,63261.973
38176,38283.96
34046,31019.264
50764,42349.78
24208,23062.613
48220,43817.86
38075,43742.016
63218,64453.266
52853,45987.383
22215,22006.352
24597,23291.238
41570,38956.547
61554,52664.508
29966,23974.936
36422,30070.79
52322,50644.66
32214,27616.506
31080,27328.291
26555,27571.146
14929,14384.136
31379,27692.25
11596,10515.677
11953,12498.829
40060,37851.42
16765,19481.748
42600,36240.79
29265,28421.006
75069,70574.445
19118,14248.974
31760,27575.229
26378,24653.111
16087,14868.567
25224,24178.41
85319,75673.48
18189,17730.982
42700,40256.598
63153,60897.715
48590,43041.426
58792,56417.746
29706,27052.941
35702,34622.66
66333,57944.69
21996,21636.379
28549,26390.998
42665,45844.87
44386,39123.68
36043,33906.016
16079,15049.504
36333,31763.727
33177,29486.744
35877,33455.98
29389,26361.498
41929,38852.47
30405,30662.045
44098,41697.24
52665,45535.098
42831,40093.324
38383,31302.771
42538,40685.977
37880,36029.3
34847,29121.094
31205,30607.082
17898,16740.906
42922,45259.164
37878,33456.29
37975,37598.918
64056,62237.273
25190,24474.053
27076,26845.557
26021,23199.309
18825,16713.406
13350,11764.537
18916,16715.77
31956,28219.822
52396,47415.367
22880,21443.3
64108,56254.027
30153,30520.154
11045,9940.64
14764,13368.957
28875,30421.086
59074,50275.22
30384,28929.701
37939,30523.406
37664,33626.137
45521,38407.23
57820,50895.82
19144,16746.389
37991,33655.375
64514,61585.33
