y_val,y_pred_dummy
36282,29589.66334546848
16380,29589.66334546848
8830,29589.66334546848
12842,29589.66334546848
6232,29589.66334546848
4678,29589.66334546848
7100,29589.66334546848
23190,29589.66334546848
10707,29589.66334546848
20422,29589.66334546848
14517,29589.66334546848
21673,29589.66334546848
18265,29589.66334546848
28621,29589.66334546848
34092,29589.66334546848
27331,29589.66334546848
14760,29589.66334546848
46053,29589.66334546848
25175,29589.66334546848
22270,29589.66334546848
43831,29589.66334546848
39171,29589.66334546848
6153,29589.66334546848
16049,29589.66334546848
14286,29589.66334546848
27956,29589.66334546848
36372,29589.66334546848
32674,29589.66334546848
33439,29589.66334546848
31975,29589.66334546848
13027,29589.66334546848
11389,29589.66334546848
12035,29589.66334546848
39887,29589.66334546848
12555,29589.66334546848
35118,29589.66334546848
16579,29589.66334546848
26449,29589.66334546848
16708,29589.66334546848
12210,29589.66334546848
19274,29589.66334546848
19397,29589.66334546848
10481,29589.66334546848
7676,29589.66334546848
22404,29589.66334546848
23468,29589.66334546848
28763,29589.66334546848
9867,29589.66334546848
13420,29589.66334546848
13135,29589.66334546848
19982,29589.66334546848
15017,29589.66334546848
5725,29589.66334546848
11280,29589.66334546848
20181,29589.66334546848
25759,29589.66334546848
36593,29589.66334546848
15013,29589.66334546848
17770,29589.66334546848
16510,29589.66334546848
32515,29589.66334546848
23882,29589.66334546848
22654,29589.66334546848
23128,29589.66334546848
8547,29589.66334546848
10936,29589.66334546848
18090,29589.66334546848
28556,29589.66334546848
45373,29589.66334546848
30448,29589.66334546848
26760,29589.66334546848
38064,29589.66334546848
33003,29589.66334546848
21516,29589.66334546848
26063,29589.66334546848
21309,29589.66334546848
12221,29589.66334546848
51523,29589.66334546848
14977,29589.66334546848
17118,29589.66334546848
11506,29589.66334546848
8186,29589.66334546848
17812,29589.66334546848
24993,29589.66334546848
12410,29589.66334546848
9611,29589.66334546848
6637,29589.66334546848
14487,29589.66334546848
33577,29589.66334546848
8632,29589.66334546848
3010,29589.66334546848
10394,29589.66334546848
21353,29589.66334546848
9398,29589.66334546848
11481,29589.66334546848
19884,29589.66334546848
29058,29589.66334546848
7214,29589.66334546848
12336,29589.66334546848
11163,29589.66334546848
28989,29589.66334546848
13550,29589.66334546848
19788,29589.66334546848
20054,29589.66334546848
21480,29589.66334546848
11496,29589.66334546848
19752,29589.66334546848
17014,29589.66334546848
21147,29589.66334546848
7114,29589.66334546848
18633,29589.66334546848
8104,29589.66334546848
10375,29589.66334546848
15298,29589.66334546848
7018,29589.66334546848
25024,29589.66334546848
39373,29589.66334546848
21533,29589.66334546848
14067,29589.66334546848
13581,29589.66334546848
7261,29589.66334546848
12461,29589.66334546848
28422,29589.66334546848
4708,29589.66334546848
25398,29589.66334546848
28999,29589.66334546848
6435,29589.66334546848
14346,29589.66334546848
8422,29589.66334546848
15359,29589.66334546848
7425,29589.66334546848
8939,29589.66334546848
13630,29589.66334546848
9766,29589.66334546848
16814,29589.66334546848
7113,29589.66334546848
14414,29589.66334546848
31169,29589.66334546848
19038,29589.66334546848
24057,29589.66334546848
18144,29589.66334546848
18233,29589.66334546848
12869,29589.66334546848
8563,29589.66334546848
32193,29589.66334546848
20119,29589.66334546848
16878,29589.66334546848
33879,29589.66334546848
6479,29589.66334546848
6184,29589.66334546848
8429,29589.66334546848
26002,29589.66334546848
9722,29589.66334546848
31517,29589.66334546848
53037,29589.66334546848
48715,29589.66334546848
23166,29589.66334546848
23281,29589.66334546848
32273,29589.66334546848
38214,29589.66334546848
5879,29589.66334546848
24297,29589.66334546848
12068,29589.66334546848
8579,29589.66334546848
15032,29589.66334546848
21282,29589.66334546848
13177,29589.66334546848
10991,29589.66334546848
32754,29589.66334546848
28452,29589.66334546848
25086,29589.66334546848
13579,29589.66334546848
7401,29589.66334546848
7163,29589.66334546848
7011,29589.66334546848
16359,29589.66334546848
50454,29589.66334546848
14419,29589.66334546848
18747,29589.66334546848
14492,29589.66334546848
17185,29589.66334546848
12424,29589.66334546848
13988,29589.66334546848
7921,29589.66334546848
11311,29589.66334546848
34671,29589.66334546848
16072,29589.66334546848
16088,29589.66334546848
8814,29589.66334546848
5271,29589.66334546848
47726,29589.66334546848
11585,29589.66334546848
14402,29589.66334546848
23959,29589.66334546848
51981,29589.66334546848
11330,29589.66334546848
37843,29589.66334546848
20720,29589.66334546848
18170,29589.66334546848
27804,29589.66334546848
55222,29589.66334546848
31212,29589.66334546848
42999,29589.66334546848
25766,29589.66334546848
24038,29589.66334546848
25870,29589.66334546848
12314,29589.66334546848
31115,29589.66334546848
10165,29589.66334546848
19407,29589.66334546848
11917,29589.66334546848
31266,29589.66334546848
24451,29589.66334546848
52508,29589.66334546848
27739,29589.66334546848
24136,29589.66334546848
17386,29589.66334546848
36509,29589.66334546848
21546,29589.66334546848
11986,29589.66334546848
8945,29589.66334546848
14048,29589.66334546848
14531,29589.66334546848
24310,29589.66334546848
34691,29589.66334546848
42758,29589.66334546848
20732,29589.66334546848
37958,29589.66334546848
16806,29589.66334546848
5909,29589.66334546848
18118,29589.66334546848
28613,29589.66334546848
49679,29589.66334546848
38246,29589.66334546848
15076,29589.66334546848
12620,29589.66334546848
29922,29589.66334546848
26762,29589.66334546848
15138,29589.66334546848
33213,29589.66334546848
23621,29589.66334546848
16946,29589.66334546848
46575,29589.66334546848
25656,29589.66334546848
50154,29589.66334546848
40958,29589.66334546848
19480,29589.66334546848
24587,29589.66334546848
52555,29589.66334546848
34707,29589.66334546848
25732,29589.66334546848
37878,29589.66334546848
23234,29589.66334546848
17529,29589.66334546848
50193,29589.66334546848
15245,29589.66334546848
14561,29589.66334546848
29324,29589.66334546848
23691,29589.66334546848
28488,29589.66334546848
41048,29589.66334546848
25768,29589.66334546848
18978,29589.66334546848
37750,29589.66334546848
23224,29589.66334546848
28260,29589.66334546848
24033,29589.66334546848
29279,29589.66334546848
31362,29589.66334546848
15423,29589.66334546848
21588,29589.66334546848
19021,29589.66334546848
34440,29589.66334546848
24088,29589.66334546848
14188,29589.66334546848
31124,29589.66334546848
35482,29589.66334546848
26182,29589.66334546848
15333,29589.66334546848
39192,29589.66334546848
38815,29589.66334546848
27935,29589.66334546848
20273,29589.66334546848
17842,29589.66334546848
27060,29589.66334546848
19634,29589.66334546848
24031,29589.66334546848
25483,29589.66334546848
22981,29589.66334546848
60857,29589.66334546848
38548,29589.66334546848
14068,29589.66334546848
62409,29589.66334546848
22969,29589.66334546848
17898,29589.66334546848
